,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
1605,Chevrolet,Aveo,2011,regular unleaded,108.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,35,27,1385,11965
1606,Chevrolet,Aveo,2011,regular unleaded,108.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35,27,1385,14250
1607,Chevrolet,Aveo,2011,regular unleaded,108.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,35,27,1385,15365
1608,Chevrolet,Aveo,2011,regular unleaded,108.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,35,27,1385,14100
1609,Lincoln,Aviator,2003,premium unleaded (required),302.0,8.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,17,12,61,45125
1610,Lincoln,Aviator,2003,premium unleaded (required),302.0,8.0,AUTOMATIC,rear wheel drive,4.0,Midsize,4dr SUV,17,12,61,42175
1611,Lincoln,Aviator,2003,premium unleaded (required),302.0,8.0,AUTOMATIC,rear wheel drive,4.0,Midsize,4dr SUV,17,12,61,39485
1612,Lincoln,Aviator,2003,premium unleaded (required),302.0,8.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,17,12,61,42435
1613,Lincoln,Aviator,2004,premium unleaded (required),302.0,8.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,16,12,61,45705
1614,Lincoln,Aviator,2004,premium unleaded (required),302.0,8.0,AUTOMATIC,rear wheel drive,4.0,Midsize,4dr SUV,17,12,61,42755
1615,Lincoln,Aviator,2004,premium unleaded (required),302.0,8.0,AUTOMATIC,rear wheel drive,4.0,Midsize,4dr SUV,17,12,61,40290
1616,Lincoln,Aviator,2004,premium unleaded (required),302.0,8.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,16,12,61,43240
1617,Lincoln,Aviator,2005,premium unleaded (required),302.0,8.0,AUTOMATIC,rear wheel drive,4.0,Midsize,4dr SUV,17,11,61,40635
1618,Lincoln,Aviator,2005,premium unleaded (required),302.0,8.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,16,11,61,43585
1619,Nissan,Axxess,1990,regular unleaded,138.0,4.0,MANUAL,front wheel drive,3.0,Compact,Passenger Minivan,24,19,2009,2000
1620,Nissan,Axxess,1990,regular unleaded,138.0,4.0,MANUAL,four wheel drive,3.0,Compact,Passenger Minivan,22,17,2009,2000
1621,Nissan,Axxess,1990,regular unleaded,138.0,4.0,AUTOMATIC,four wheel drive,3.0,Compact,Passenger Minivan,20,16,2009,2000
1622,Nissan,Axxess,1990,regular unleaded,138.0,4.0,AUTOMATIC,front wheel drive,3.0,Compact,Passenger Minivan,22,18,2009,2000
1623,Hyundai,Azera,2015,regular unleaded,293.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,28,19,1439,38200
1624,Hyundai,Azera,2015,regular unleaded,293.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,29,20,1439,34000
1625,Hyundai,Azera,2016,regular unleaded,293.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,29,20,1439,34100
1626,Hyundai,Azera,2016,regular unleaded,293.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,28,19,1439,39300
1627,Hyundai,Azera,2017,regular unleaded,293.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,28,20,1439,34100
1628,Hyundai,Azera,2017,regular unleaded,293.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,28,19,1439,39300
1629,Pontiac,Aztek,2003,regular unleaded,185.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,22,16,210,23820
1630,Pontiac,Aztek,2003,regular unleaded,185.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,24,17,210,20870
1631,Pontiac,Aztek,2004,regular unleaded,185.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,22,16,210,24190
1632,Pontiac,Aztek,2004,regular unleaded,185.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,24,17,210,21275
1633,Pontiac,Aztek,2005,regular unleaded,185.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,22,16,210,24445
1634,Pontiac,Aztek,2005,regular unleaded,185.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,24,17,210,21530
1635,Bentley,Azure T,2010,premium unleaded (required),500.0,8.0,AUTOMATIC,rear wheel drive,2.0,Large,Convertible,15,9,520,363000
1636,Bentley,Azure,2007,premium unleaded (required),450.0,8.0,AUTOMATIC,rear wheel drive,2.0,Large,Convertible,15,10,520,329990
1637,Bentley,Azure,2008,premium unleaded (required),450.0,8.0,AUTOMATIC,rear wheel drive,2.0,Large,Convertible,15,9,520,329990
1638,Bentley,Azure,2009,premium unleaded (required),450.0,8.0,AUTOMATIC,rear wheel drive,2.0,Large,Convertible,15,9,520,334990
1639,Mercedes-Benz,B-Class Electric Drive,2015,electric,177.0,0.0,DIRECT_DRIVE,front wheel drive,4.0,Compact,4dr Hatchback,82,85,617,41450
1640,Mercedes-Benz,B-Class Electric Drive,2016,electric,177.0,0.0,DIRECT_DRIVE,front wheel drive,4.0,Compact,4dr Hatchback,82,85,617,41450
1641,Mercedes-Benz,B-Class Electric Drive,2017,electric,177.0,0.0,DIRECT_DRIVE,front wheel drive,4.0,Compact,4dr Hatchback,82,85,617,39900
1642,Mazda,B-Series Pickup,1998,regular unleaded,119.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,24,19,586,2179
1643,Mazda,B-Series Pickup,1998,regular unleaded,160.0,6.0,MANUAL,four wheel drive,2.0,Compact,Extended Cab Pickup,19,14,586,3323
1644,Mazda,B-Series Pickup,1998,regular unleaded,160.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Extended Cab Pickup,20,15,586,2915
1645,Mazda,B-Series Pickup,1998,regular unleaded,150.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Extended Cab Pickup,21,15,586,2756
1646,Mazda,B-Series Pickup,1998,regular unleaded,119.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Extended Cab Pickup,24,19,586,2692
1647,Mazda,B-Series Pickup,1998,regular unleaded,150.0,6.0,MANUAL,four wheel drive,2.0,Compact,Regular Cab Pickup,20,15,586,2930
1648,Mazda,B-Series Pickup,1998,regular unleaded,119.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,24,19,586,2717
1649,Mazda,B-Series Pickup,1998,regular unleaded,150.0,6.0,MANUAL,four wheel drive,2.0,Compact,Extended Cab Pickup,20,15,586,3033
1650,Mazda,B-Series Pickup,1998,regular unleaded,150.0,6.0,MANUAL,four wheel drive,2.0,Compact,Regular Cab Pickup,20,15,586,2713
1651,Mazda,B-Series Pickup,1998,regular unleaded,119.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,24,19,586,2432
1652,Mazda,B-Series Pickup,1999,regular unleaded,160.0,6.0,MANUAL,four wheel drive,2.0,Compact,Extended Cab Pickup,19,15,586,3514
1653,Mazda,B-Series Pickup,1999,regular unleaded,160.0,6.0,MANUAL,four wheel drive,4.0,Compact,Extended Cab Pickup,19,15,586,3696
1654,Mazda,B-Series Pickup,1999,regular unleaded,119.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,24,19,586,2593
1655,Mazda,B-Series Pickup,1999,regular unleaded,160.0,6.0,MANUAL,four wheel drive,4.0,Compact,Extended Cab Pickup,19,15,586,3538
1656,Mazda,B-Series Pickup,1999,regular unleaded,160.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,20,16,586,2870
1657,Mazda,B-Series Pickup,1999,regular unleaded,119.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,24,19,586,2211
1658,Mazda,B-Series Pickup,1999,flex-fuel (unleaded/E85),150.0,6.0,MANUAL,four wheel drive,4.0,Compact,Extended Cab Pickup,20,16,586,3206
1659,Mazda,B-Series Pickup,1999,flex-fuel (unleaded/E85),150.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,21,16,586,3119
1660,Mazda,B-Series Pickup,1999,flex-fuel (unleaded/E85),150.0,6.0,MANUAL,four wheel drive,2.0,Compact,Extended Cab Pickup,20,16,586,3214
1661,Mazda,B-Series Pickup,1999,flex-fuel (unleaded/E85),150.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Extended Cab Pickup,21,16,586,2853
1662,Mazda,B-Series Pickup,1999,regular unleaded,160.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Extended Cab Pickup,20,15,586,3221
1663,Mazda,B-Series Pickup,1999,regular unleaded,119.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,24,19,586,2493
1664,Mazda,B-Series Pickup,1999,flex-fuel (unleaded/E85),150.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,21,16,586,2946
1665,Mazda,B-Series Pickup,1999,flex-fuel (unleaded/E85),150.0,6.0,MANUAL,four wheel drive,2.0,Compact,Regular Cab Pickup,20,16,586,3011
1666,Mazda,B-Series Pickup,1999,regular unleaded,119.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,24,19,586,2857
1667,Mazda,B-Series Pickup,1999,regular unleaded,160.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,20,15,586,3229
1668,Mazda,B-Series Pickup,1999,regular unleaded,119.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Extended Cab Pickup,24,19,586,2801
1669,Mazda,B-Series Pickup,2000,regular unleaded,119.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,24,20,586,2637
1670,Mazda,B-Series Pickup,2000,regular unleaded,119.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Extended Cab Pickup,24,20,586,2961
1671,Mazda,B-Series Pickup,2000,flex-fuel (unleaded/E85),143.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,21,16,586,3107
1672,Mazda,B-Series Pickup,2000,flex-fuel (unleaded/E85),143.0,6.0,MANUAL,four wheel drive,4.0,Compact,Extended Cab Pickup,20,15,586,3394
1673,Mazda,B-Series Pickup,2000,flex-fuel (unleaded/E85),143.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,21,16,586,2689
1674,Mazda,B-Series Pickup,2000,regular unleaded,160.0,6.0,MANUAL,four wheel drive,4.0,Compact,Extended Cab Pickup,19,15,586,3768
1675,Mazda,B-Series Pickup,2000,regular unleaded,119.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,24,20,586,2350
1676,Mazda,B-Series Pickup,2000,flex-fuel (unleaded/E85),143.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,21,16,586,3289
1677,Mazda,B-Series Pickup,2000,flex-fuel (unleaded/E85),143.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,21,16,586,2413
1678,Mazda,B-Series Pickup,2000,regular unleaded,160.0,6.0,MANUAL,four wheel drive,4.0,Compact,Extended Cab Pickup,19,15,586,3928
1679,Mazda,B-Series Pickup,2000,regular unleaded,160.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,19,14,586,3579
1680,Mazda,B-Series Pickup,2000,flex-fuel (unleaded/E85),143.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Extended Cab Pickup,21,16,586,3032
1681,Mazda,B-Series Pickup,2000,flex-fuel (unleaded/E85),143.0,6.0,MANUAL,four wheel drive,2.0,Compact,Regular Cab Pickup,20,15,586,3190
1682,Mazda,B-Series Truck,2007,regular unleaded,207.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,17,14,586,26590
1683,Mazda,B-Series Truck,2007,regular unleaded,148.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,21,16,586,19675
1684,Mazda,B-Series Truck,2007,regular unleaded,143.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,26,21,586,15535
1685,Mazda,B-Series Truck,2007,regular unleaded,148.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,21,16,586,19040
1686,Mazda,B-Series Truck,2007,regular unleaded,148.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,21,16,586,21430
1687,Mazda,B-Series Truck,2007,regular unleaded,207.0,6.0,MANUAL,four wheel drive,4.0,Compact,Extended Cab Pickup,19,15,586,22045
1688,Mazda,B-Series Truck,2008,regular unleaded,207.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,17,14,586,26590
1689,Mazda,B-Series Truck,2008,regular unleaded,207.0,6.0,MANUAL,four wheel drive,4.0,Compact,Extended Cab Pickup,19,15,586,22045
1690,Mazda,B-Series Truck,2008,regular unleaded,143.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,26,21,586,15535
1691,Mazda,B-Series Truck,2009,regular unleaded,143.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,26,21,586,16060
1692,Mazda,B-Series Truck,2009,regular unleaded,207.0,6.0,MANUAL,four wheel drive,4.0,Compact,Extended Cab Pickup,19,15,586,22150
1693,Mazda,B-Series,2001,regular unleaded,150.0,6.0,MANUAL,four wheel drive,2.0,Compact,Extended Cab Pickup,19,15,586,20030
1694,Mazda,B-Series,2001,regular unleaded,150.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,21,15,586,14990
1695,Mazda,B-Series,2001,regular unleaded,150.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Extended Cab Pickup,21,15,586,17225
1696,Mazda,B-Series,2001,regular unleaded,150.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,21,15,586,18485
1697,Mazda,B-Series,2001,regular unleaded,119.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,24,19,586,14545
1698,Mazda,B-Series,2001,regular unleaded,119.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,24,19,586,12345
1699,Mazda,B-Series,2001,regular unleaded,150.0,6.0,MANUAL,four wheel drive,2.0,Compact,Regular Cab Pickup,19,15,586,18360
1700,Mazda,B-Series,2001,regular unleaded,207.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,20,16,586,19340
1701,Mazda,B-Series,2001,regular unleaded,150.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Extended Cab Pickup,21,15,586,17545
1702,Mazda,B-Series,2001,regular unleaded,140.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,26,21,586,12495
1703,Mazda,B-Series,2001,regular unleaded,207.0,6.0,MANUAL,four wheel drive,4.0,Compact,Extended Cab Pickup,18,14,586,22085
1704,Mazda,B-Series,2001,regular unleaded,140.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,26,21,586,14695
1705,Mazda,B-Series,2001,regular unleaded,150.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,21,15,586,15125
1706,Subaru,B9 Tribeca,2006,premium unleaded (required),250.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,16,640,30695
1707,Subaru,B9 Tribeca,2006,premium unleaded (required),250.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,16,640,32395
1708,Subaru,B9 Tribeca,2006,premium unleaded (required),250.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,16,640,34195
1709,Subaru,B9 Tribeca,2006,premium unleaded (required),250.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,16,640,34295
1710,Subaru,B9 Tribeca,2006,premium unleaded (required),250.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,16,640,37695
1711,Subaru,B9 Tribeca,2006,premium unleaded (required),250.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,16,640,35895
1712,Subaru,B9 Tribeca,2006,premium unleaded (required),250.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,16,640,33895
1713,Subaru,B9 Tribeca,2006,premium unleaded (required),250.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,16,640,32295
1714,Subaru,B9 Tribeca,2006,premium unleaded (required),250.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,16,640,35695
1715,Subaru,B9 Tribeca,2007,premium unleaded (required),245.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,16,640,29995
1716,Subaru,B9 Tribeca,2007,premium unleaded (required),245.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,16,640,37295
1717,Subaru,B9 Tribeca,2007,premium unleaded (required),245.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,16,640,35495
1718,Subaru,B9 Tribeca,2007,premium unleaded (required),245.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,16,640,33495
1719,Subaru,B9 Tribeca,2007,premium unleaded (required),245.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,16,640,31995
1720,Subaru,B9 Tribeca,2007,premium unleaded (required),245.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,16,640,34495
1721,Subaru,B9 Tribeca,2007,premium unleaded (required),245.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,16,640,32495
1722,Subaru,Baja,2004,regular unleaded,165.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,Crew Cab Pickup,25,19,640,22795
1723,Subaru,Baja,2004,premium unleaded (required),210.0,4.0,MANUAL,all wheel drive,4.0,Compact,Crew Cab Pickup,22,16,640,23995
1724,Subaru,Baja,2004,premium unleaded (required),210.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,Crew Cab Pickup,21,16,640,24995
1725,Subaru,Baja,2004,regular unleaded,165.0,4.0,MANUAL,all wheel drive,4.0,Compact,Crew Cab Pickup,25,19,640,21995
1726,Subaru,Baja,2004,premium unleaded (required),210.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,Crew Cab Pickup,21,16,640,26295
1727,Subaru,Baja,2005,regular unleaded,165.0,4.0,MANUAL,all wheel drive,4.0,Compact,Crew Cab Pickup,25,19,640,22345
1728,Subaru,Baja,2005,premium unleaded (required),210.0,4.0,MANUAL,all wheel drive,4.0,Compact,Crew Cab Pickup,23,17,640,24345
1729,Subaru,Baja,2005,premium unleaded (required),210.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,Crew Cab Pickup,21,16,640,25345
1730,Subaru,Baja,2005,premium unleaded (required),210.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,Crew Cab Pickup,21,16,640,27245
1731,Subaru,Baja,2005,regular unleaded,165.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,Crew Cab Pickup,25,19,640,23145
1732,Subaru,Baja,2006,premium unleaded (required),210.0,4.0,MANUAL,all wheel drive,4.0,Compact,Crew Cab Pickup,23,17,640,24595
1733,Subaru,Baja,2006,regular unleaded,165.0,4.0,MANUAL,all wheel drive,4.0,Compact,Crew Cab Pickup,26,20,640,22495
1734,Subaru,Baja,2006,premium unleaded (required),210.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,Crew Cab Pickup,21,16,640,25595
1735,Subaru,Baja,2006,premium unleaded (required),210.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,Crew Cab Pickup,21,16,640,27495
1736,Subaru,Baja,2006,regular unleaded,165.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,Crew Cab Pickup,25,19,640,23295
1737,Volkswagen,Beetle Convertible,2014,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Convertible,32,24,873,27295
1738,Volkswagen,Beetle Convertible,2014,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Compact,Convertible,29,23,873,31795
1739,Volkswagen,Beetle Convertible,2014,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Compact,Convertible,29,23,873,34895
1740,Volkswagen,Beetle Convertible,2014,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,2.0,Compact,Convertible,27,21,873,27295
1741,Volkswagen,Beetle Convertible,2014,diesel,140.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Compact,Convertible,41,28,873,32755
1742,Volkswagen,Beetle Convertible,2014,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,31,23,873,29395
1743,Volkswagen,Beetle Convertible,2014,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Convertible,32,24,873,29395
1744,Volkswagen,Beetle Convertible,2014,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Convertible,32,24,873,25170
1745,Volkswagen,Beetle Convertible,2014,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Compact,Convertible,29,23,873,30495
1746,Volkswagen,Beetle Convertible,2014,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,31,23,873,30695
1747,Volkswagen,Beetle Convertible,2014,diesel,140.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Compact,Convertible,41,28,873,31195
1748,Volkswagen,Beetle Convertible,2014,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Convertible,32,24,873,30755
1749,Volkswagen,Beetle Convertible,2014,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,31,23,873,33795
1750,Volkswagen,Beetle Convertible,2014,diesel,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,41,28,873,30095
1751,Volkswagen,Beetle Convertible,2014,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,2.0,Compact,Convertible,27,21,873,29395
1752,Volkswagen,Beetle Convertible,2014,diesel,140.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Compact,Convertible,41,28,873,29995
1753,Volkswagen,Beetle Convertible,2014,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,2.0,Compact,Convertible,27,21,873,25170
1754,Volkswagen,Beetle Convertible,2014,diesel,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,41,28,873,28895
1755,Volkswagen,Beetle Convertible,2015,diesel,150.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,40,30,873,30295
1756,Volkswagen,Beetle Convertible,2015,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Compact,Convertible,29,23,873,31995
1757,Volkswagen,Beetle Convertible,2015,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,31,23,873,33995
1758,Volkswagen,Beetle Convertible,2015,diesel,150.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Compact,Convertible,40,30,873,30195
1759,Volkswagen,Beetle Convertible,2015,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Compact,Convertible,29,23,873,32595
1760,Volkswagen,Beetle Convertible,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Convertible,32,24,873,29595
1761,Volkswagen,Beetle Convertible,2015,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Compact,Convertible,29,23,873,35095
1762,Volkswagen,Beetle Convertible,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Convertible,32,24,873,30425
1763,Volkswagen,Beetle Convertible,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Convertible,32,24,873,27475
1764,Volkswagen,Beetle Convertible,2015,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,31,23,873,30895
1765,Volkswagen,Beetle Convertible,2015,diesel,150.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,40,30,873,31125
1766,Volkswagen,Beetle Convertible,2015,diesel,150.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,40,30,873,29675
1767,Volkswagen,Beetle Convertible,2015,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Compact,Convertible,29,23,873,30995
1768,Volkswagen,Beetle Convertible,2015,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,31,23,873,34875
1769,Volkswagen,Beetle Convertible,2015,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,31,23,873,29895
1770,Volkswagen,Beetle Convertible,2015,diesel,150.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,40,30,873,29095
1771,Volkswagen,Beetle Convertible,2015,diesel,150.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Compact,Convertible,40,30,873,31395
1772,Volkswagen,Beetle Convertible,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Convertible,32,24,873,25595
1773,Volkswagen,Beetle Convertible,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Convertible,32,24,873,25995
1774,Volkswagen,Beetle Convertible,2015,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Compact,Convertible,29,23,873,35975
1775,Volkswagen,Beetle Convertible,2015,diesel,150.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Compact,Convertible,40,30,873,30775
1776,Volkswagen,Beetle Convertible,2015,diesel,150.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Compact,Convertible,40,30,873,32225
1777,Volkswagen,Beetle Convertible,2015,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,31,23,873,31495
1778,Volkswagen,Beetle Convertible,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Convertible,32,24,873,27995
1779,Volkswagen,Beetle Convertible,2016,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,31,23,873,29790
1780,Volkswagen,Beetle Convertible,2016,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Convertible,34,25,873,28070
1781,Volkswagen,Beetle Convertible,2016,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,31,23,873,34950
1782,Volkswagen,Beetle Convertible,2016,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Compact,Convertible,31,23,873,32670
1783,Volkswagen,Beetle Convertible,2016,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,31,23,873,31570
1784,Volkswagen,Beetle Convertible,2016,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Convertible,34,25,873,30500
1785,Volkswagen,Beetle Convertible,2016,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Convertible,34,25,873,25995
1786,Volkswagen,Beetle Convertible,2016,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Compact,Convertible,31,23,873,36050
